CASE,PIPE DIAMETER [mm],COLUMN LENGTH [mm],PARTICLES DIAMETER [mm],PARTICLES COUNT,L/D,D/Dp,POROSITY,FLOW RATE [L/min],TEMPERATURE [℃],SUPERFICIAL VELOCITY [m/s],PRESSURE DROP [Pa],STAT VERIFIED

SP-10-D50x423-G114.2,50,423,10,950,8.46,5,0.401,114.2,23,0.969,113,116,114.5,TRUE
SP-10-D50x423-G117.2,50,423,10,950,8.46,5,0.401,117.2,23,0.995,119,124,121.5,TRUE
SP-10-D50x423-G121.7,50,423,10,950,8.46,5,0.401,121.7,23,1.033,124,126,125,TRUE
SP-10-D50x423-G123.35,50,423,10,950,8.46,5,0.401,123.35,23,1.047,128,129,128.5,TRUE
SP-10-D50x423-G127.1,50,423,10,950,8.46,5,0.401,127.1,23,1.079,138,141,139.5,TRUE
SP-10-D50x423-G130.45,50,423,10,950,8.46,5,0.401,130.45,23,1.107,144,146,145,TRUE
SP-10-D50x423-G135.8,50,423,10,950,8.46,5,0.401,135.8,23,1.153,152,154,153,TRUE
SP-10-D50x423-G138.95,50,423,10,950,8.46,5,0.401,138.95,23,1.179,155,159,157,TRUE
SP-10-D50x423-G140,50,423,10,950,8.46,5,0.401,140,23,1.188,155,157,156,TRUE
SP-10-D50x423-G142.2,50,423,10,950,8.46,5,0.401,142.2,23,1.207,162,164,163,TRUE
SP-10-D50x423-G144.4,50,423,10,950,8.46,5,0.401,144.4,23,1.226,162,165,163.5,TRUE
SP-10-D50x423-G147.9,50,423,10,950,8.46,5,0.401,147.9,23,1.255,169,172,170.5,TRUE
SP-10-D50x423-G148.55,50,423,10,950,8.46,5,0.401,148.55,23,1.261,176,179,177.5,TRUE
SP-10-D50x423-G155.65,50,423,10,950,8.46,5,0.401,155.65,23,1.321,187,190,188.5,TRUE
SP-10-D50x423-G158.75,50,423,10,950,8.46,5,0.401,158.75,23,1.348,198,200,199,TRUE
SP-10-D50x533-G12.15,50,533,10,1200,10.66,5,0.4,12.15,23,0.103,4,5,4.5,TRUE
SP-10-D50x533-G15.45,50,533,10,1200,10.66,5,0.4,15.45,23,0.131,6,7,6.5,TRUE
